en,msa,tn,eg,jo,pa,sy,prompt,response
"a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you",الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم,الصاحب ياقف مع صاحبو في الباهي و الخايب ما يحشمش منو يفرح لفرحو و يحزن لحزنو ويكون حكيم في رأيه معاك,الصديق يقف جنب صديقه فى السراء ووالضراء مايتكسفش منه فى اى حاجة يفرح لفرحه ويزعل لزعله يكون رأيه حكيم معاك,الصديق بيوقف جنب صديقو في الفرح والحزن ما بيخجل منو بأي اشي بفرح لفرحو وبزعل لزعلو وبعطيك رأي صحيح,الصديق بكون دايما جنب صديقه في السراء والضراء وما بخجل منه وبفرح لفرحه وبحزن لحزنه وبيحاول يدله على الصح,الرفيق بيوقف جنب رفيقو في السراء والضراء وما بيخجل منو في أي شي بيفرح لفرحه وبيزعل لزعلو ويكون رأيه مظبوط معه,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
Source: a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you
Translation: ",صديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
To film ironing and cheese.,حتى نصور المكواه والجبن,باش نصوروا مكة و قريش,علشان نصور المكوة والقريش ..,علشان نصور المكوة والجبنة,علشان نصور المكوة والقريش ..,مشان نصور المكوية والفرش ....,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حتى نصور المكواه والجبن
Source: To film ironing and cheese.
Translation: ",للتوقيت والجبنة.
I am not more expensive than a pearl...,انا لست أغلى من الدره .,انا مانيش اغلى من الدرة,أنا مش أغلى من الدره ...,انا مش اغلى من الجوهرة,انا مش اغلى من الدره ...,"أنا مو أغلى من الدره ,,,,,","<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انا لست أغلى من الدره .
Source: I am not more expensive than a pearl...
Translation: ",أنا لا أكون أكثر أغلى من الدره.
And the watermelon will be bald anyway,و على اى حال نكتشف ان البطيخة فاسدة,البطيخة يا تطلع قرعة ولا قرعة,ويا تطلع البطيخه قرعه يا قرعه,البطيخة رح تطلع قرعة بكل الاحوال,ويا تطلع البطيخه تفله يا تفله,ويا تطلع البطيخة قرعه يا قرعه,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و على اى حال نكتشف ان البطيخة فاسدة
Source: And the watermelon will be bald anyway
Translation: ",و على اى حال نكتشف ان البطيخة فاسدة
"so I hit him with a stick in his head, so I wiped his blood",و قمت بضربه بالعصا على رأسه فغرق فى دمائه,ضربتلوا راسوا بالعكاز كسرتهولوا و سيحت دموا,رحت راقعة بالعكاز فى ام نافوخه رحت مسيح دمه,ضربتو بالعكازة في نص راسو طيحت دمو,ضربته بالعصا  على راسه ونزلتله دمه,رح ضربتها بالعكازه هي نص راسو  وخليت الدم للركب,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و قمت بضربه بالعصا على رأسه فغرق فى دمائه
Source: so I hit him with a stick in his head, so I wiped his blood
Translation: ",وقمت بضربه بالعصا على رأسه فغرق فى دمائه
"How are you, and what are your news",كيف حالك و كيف اخبارك ؟,شنحوالك شعامل,ازيك واكيف اخبارك,كيفك شو اخبارك؟,كيف حالك وشو اخبارك ؟,كيفك وشو أخبارك ؟,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك و كيف اخبارك ؟
Source: How are you, and what are your news
Translation: ",كيف حالك و كيف اخبارك ؟
"you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do",إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله,انت باش تدخل الجنة وانا باش ندخل النار و باش تعمل الحرام الكل اللي انا نعمل فيه,إنت هتخش الجنة وأنا هاخش النار وهتعمل كل الحرام اللي أنا باعمله,انت رح تدخل الجنة وانا النار ورح تعمل كل الحرام الي انا بعملو,انت رح تدخل الجنه وانا بدخل النار حتى لو عملت نفس الحرام اللي انا عملته,إنت رح تدخل الجنة وأنا رح أدخل النار ورح تعمل كل الحرام الي أنا بعملو,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
Source: you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do
Translation: ",تستعين إلى الجنة، وأنا ستعين إلى النار، وستفعل كل حرام الذي أفعله أنا
"The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand",والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,و الطبيب حس بخيبة امل اما اتفا جأ بيدين مهزوزة و طلعت يد سليم,والدكتور شعر بخيبة آمل ولكنه أتفاجأ بأيد مرفوعة علي استحياء انها يد وسيم,"والدكتور خاب املو بس اتفاجأ بايد مرفوعة بخجل , ايد وسيم",حس الدكتور بخيبة امل بس تفاجأ بايد مرفوعة بتردد وهي ايد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم
Source: The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand
Translation: ",والدكتور شعر بخيبة آمل ولكنه تفاجع بأيد مرفوعة علي إستحياء إنها يد وسيم
"and from their evil, and when they were kind god said about them Truly mighty is women snare",و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,ومن شرهن ده لما كانو طيبين وبحالهن قال ربنا عنهم ان كيدهن عظي,ومن شرهن هاد ربنا حكى عنهم ان كيدهن عظيم,ومن شرهم هدا وزمان وهن طيبات في حالهن الله قال عنهن ان كيدهن عظيم,ومن شرهن هاد لما كانو طيبين وبحالن قال الله عنهم ( إن كيدهن عظيم ),"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Source: and from their evil, and when they were kind god said about them Truly mighty is women snare
Translation: ","و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
في إطار من المزيد من التعليمات التي أنزل الله عز وجل في القرآن الكريم، و في إطار من التعليمات التي أنزل الله عز وجل في الإنجيل، و في إطار من التعليمات التي أنزل الله عز وجل في الكتاب المقدس، و في إطار من التعليمات التي أنزل الله عز وجل في الكتاب المقدس الأخر، و في إطار من التعليمات التي أنزل الله عز وجل في الكتاب المقدس الأول."
"We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.",من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا,احنا لازم نعرفوا انا تغلبنا و نستعرفوا اما لازم نعرفوا اللي العدو ما ينجمش يولي صاحب و لازم نقول لولادنا ان هذاكا عدونا,احنا لازم نعرف اننا مهزومين ونعترف بكدة لكن لازم نعرف ان االعدو مش ممكن يبقى صديق ولازم نعلم ولادنا ان ده عدونا,احنا لازم نعترف انا مغلوبين ولازم نعرف انو العدو مستحيل يكون صديق ولازم نحكي لولادنا مين هو عدونا,احنا لازم نعترف بالهزيمه بس لازم نعرف كمان انو العدو ولا مره ممكن يصير صديق وواجب علينا نبين لولادنا انو هدا عدونا,نحنا لازم نعرف أننا خسارنين ونعترف بهيك لكن لازم نعرف أن العدو مو  ممكن أنو صديق ولازم نعلم ولادنا أنو هاد عدونا,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا
Source: We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.
Translation: ",نعترف على أننا هزمنا، و لكن يجب على نسبة العدو أن يكون صديقًا، و نعلم أبناءنا أن هذا عدونا
i did see here but i'll say what are you going to download this time Marwan,انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان,أنا ريتها مع ثمانية وإنت باش تهبط توا يا مروان,انا شفتها تمانيه بس هقول ايه هتنزل المره دى مروان,انا شفتها هون بس شو رح احكي شو بتنزل مروان,رح تنزل المره هاي يا مروان ان شفتها ثمانيه بس شو بدي احكي,أنا شفتها تمانية بس رح قول شو رح تنزل المرة هي مروان,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
Source: i did see here but i'll say what are you going to download this time Marwan
Translation: ",انا رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
and exploits our intelligent and tested human who link with him and will live with him rest of our life,ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر,و نستغل ذكائنا و نجرب العبد اللي ارتبطنا بيه واللي باش نكمل معاه حياتي,ونستغل زكائنا ونختبر الانسان اللي ارتبطنا بيه واللي هنعيش معاه بقيت عمرنا,لازم نستغل ذكائنا ونختبر الانسان الي ارتبطنا فيه واللي رح نعيش معو طول عمرنا,وبذكائنا بنختبر الانسان اللي ارتبطنا فيه واللي بدنا نعيش معه لاخر حياتنا,وبنحاول نستغل زكائنا ونختبر الأنسان اللي ارتبطنا فيه  واللي رح نعيش معو باقي عمرنا,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
Source: and exploits our intelligent and tested human who link with him and will live with him rest of our life
Translation: ",ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place,اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص,شوف هو بالحق موضوع الحفلات فى الجامعة موش صحيح جملة على خاطر المفروض ان الجامعة نقراو فيها هذا هو المفروض والحفلات هاذي ليها بقعتها,بص هو فعلا موضوع الحفلات فى الجامعه ده مش صح اساسا لان المفروض ان الجامعه دى مكان للتعليم ده المفروض يعنى والحفلات دى ليها اماكنها,شوف هو موضوع الحفلات بالجامعة مش صح لانو الجامعة مكان تعليم والحفلات الها اماكنها,شوف هو عمل الحفلات في الجامعه اصلا مش صح لانو هو مكان للتعليم مش مكان رقص واغاني والحفلات الها امكن خاصه هيك المفروض,شوف هو فعلا موضوع الحفلات في الجامعة هاد مو صح اساسا لأنو المفروض انو الجامعة هي مكان للتعليم هاد المفروض يعني والحفلات هي الها أماكنها,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
Source: listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place
Translation: ",اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension,قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده,هالبرنامج تدخلو ملف مكتوب ولا اى حاجة مكتوبة يخرجها من ا لجهة لخرى ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,البرنامج ده تدخله ملف مكتوب او اى حاجة مكتوبة يخرجها من الناحية التانية ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,هاد البرنامج بتدخلو ملف مكتوب من جهة وبطلعو ملف صوت بالحكي المكتوب من الجهة التانية بامتداد,الية عمل هدا البرنامج انو بتدخله البانات مكتوبه بطلعها صوت مسجل بالكلمات المكتوبه على الورقه على شكل امتداد,البرنامج هاد رح تدخله ملف مكتوب أو أي شي مكتوبة يخرج من الناحية التانية ملف صوت مسجل بالكلام الي مكتوب في الورقة على شكل أمتداد,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
Source: that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension
Translation: ",يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
"the father of this nation, good morning your honor",ابو وطن صباح الخير سيادتك,بو وطن صباح شريف يا سيدي,ابو وطن صباح شريف معاليك,ابو وطن صاح شريف معاليك,صباح شريف معالي ابو وطن,أبو وطن صباح سعادتك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ابو وطن صباح الخير سيادتك
Source: the father of this nation, good morning your honor
Translation: ",ابو وطن صباح الخير سيادتك
I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.,اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى,راني نفرح عالاخر كي نلقى شكون يواسيني ويقف معايا,بافرح اوي برضه من كلمات التدعيم و ان حد كلف نفسه ووقف يعلق بكلمه شايف انها ممكن تخفف عني ،,كتير بنبسط من كلمات التشجيع وانو حدا وقف يحكي يخفف عني,بفرح كتير كمان من الكلام اللي بدعمني ولو في حدا يقولي كلام ممكن  يخفف عني يقوله,أنا بفرح كتير كمان من كلمات الي بتدعم الشخص وأن واحد كلف حالو ووقف يعلق بكلمة  هو شايف أنو هالكلمة ممكن  تخفف عني,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى
Source: I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.
Translation: ",أنا أشعر بالسعادة أيضاً من كلمات التدعيم و إذا كان شخص يتكرم و يعلق بكل كلمة راها أنها ستخفف عنى
this is more danger from one Gambling on souif or mohamrd bakry targets and also,هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هذا اخطر ببرشة من حد يعلق على اهداف سويف ولا محمد بكري,ده أخطر بكثير من حد بيزايد على أهداف سويف أو محمد بكري و برضه,هاد اخطر بكتير من حدا بزايد على اهداف سويف او محمد بكري وبوضو,هدا اخطر بكثير من حدا بيزايد على اهداف سويف او محمد بكري وكمان,هاد أخطر من حدا بيناسف على أهداف سويف أو محمد بكري,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
Source: this is more danger from one Gambling on souif or mohamrd bakry targets and also
Translation: ",هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
"or what? consider it a sitting like any sitting...haha, may god help you",ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .,ولا شنوى حسبتها قاعدة كيما قاعدة ربي معاك,ولا ايه اعتبرها قعدة زي قعدة ههه ربنا يوفقك,ولا شو اعتبر قعدة زيه هاي القعدة الله يوفقك,ولا شو اعتبرها قعده زي قعدة ههه الله يفرجها عليك,ولا شو اعتبرها قعدة متل قعدة هههههه  الله يوفقك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .
Source: or what? consider it a sitting like any sitting...haha, may god help you
Translation: ",أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا بالله.أو ما؟ أعتبرها
and my greetings Mr Mohammad Nabeel,و تحياتى لك استاذ محمد نبيل,وتحياتي ليك استاذ محمد نبيل,وتحياتي لك استاذ محمد نبيل,تحياتي استاز محمد نبيل,وتحياتي استاذ  محمد نبيل,وسلامي الك يا استاذ محمد نبيل,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تحياتى لك استاذ محمد نبيل
Source: and my greetings Mr Mohammad Nabeel
Translation: ",و تحياتى لك استاذ محمد نبيل
We will bring a couple of books that talks about standards,سنحضر عدة كتب تناقش موضوع المقاييس,نوليو نجيبوا شويا كتب يحكيو على المقاييس,يبقى نجيب كام كتاب بيتكلم على المقاييس,بنجيب اكم كتاب بحكي عن المقاييس,معناها نجيب اكم كتاب عن المقاييس,بيبقى نجيب كم كتاب بيحكي عن المقاييس,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.سنحضر عدة كتب تناقش موضوع المقاييس
Source: We will bring a couple of books that talks about standards
Translation: ",سنحضر عدة كتب تناقش موضوع المقاييس
hhh but those their story finished in the past,لكن هؤلاء قصتهم انتهت فى الماضى,ههه اما هذوما حكايتهم وفاة عندها برشا ههه,ههه بس دول ياعيني قصتهم خلصت من زمااان ههه,ههه بس هدول قصتهم خلصت من زمان,ههه بس هدول يا حرام من زمان خلصت قصتهم ههه,ههههه بس هدول يا عيني قصتهم خلصت من زمان ههههه,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لكن هؤلاء قصتهم انتهت فى الماضى
Source: hhh but those their story finished in the past
Translation: ",لكن هؤلاء قصتهم انتهت فى الماضى
Then he deserves to be killed,يكون مصيره القتل,يولي يستاهل القتل,يبقي يستاهل القتل,اذا بستاهل القتل,معناها بستاهل الموت,معناها بيستاهل القتل,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يكون مصيره القتل
Source: Then he deserves to be killed
Translation: ",ثم يكون مصيره القتل
it is corrupted..this is the carpenter of your wheels..this is my fate?,إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟,دوالبكم مخربين و انا نجار نصلحهم هذاك زهري؟,خربان و نا نجار دواليبكم هي كده قسمتي ؟,"خربان وانا نجار عجالكم , هاي قسمتي ونصيبي ؟",خالص وانا عامل اشغالكم كلها هذي قسمتي ؟,خربان وأنا نجار خزناتكم هي هيك قسمتي بهالدنيا ؟,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟
Source: it is corrupted..this is the carpenter of your wheels..this is my fate?
Translation: ",هذا متكرر ، هذا هو جانب دوالبيكم ، هل هذا نصيبي ؟
"And forget about the inner taste , forget to say a sweet word",و تنسى ان الذوق الداخلى ان تقول له كلمه جميله,تنجم تنسى بش تقول كلام حلو,وتنسي ان الذوق الداخلي تنسي انه تقول كلمه حلوه,وتنسي تحكي كلمة حلوة من باب الذوق,وتنسى ان الذوق من الداخل وتنسى تحكي كلمه حلوه,وتنسى أن الذوق من جوا وتنسى تقول كلمة حلوة,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
Source: And forget about the inner taste , forget to say a sweet word
Translation: ",و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
And you have the choice after all,وأنت الذى تملك الأختيار فى جميع الأحوال,وانت اللي تختار في الاول وفي الاخر,وانت اللي لك الاختيار في الاول والاخر,اول عن اخر انت الي رح تختار,والاختيار برجعلك,وانت الي ألك الاختيار في الأول والأخير,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وأنت الذى تملك الأختيار فى جميع الأحوال
Source: And you have the choice after all
Translation: ",وأنت الذى تملك الأختيار فى جميع الأحوال
"Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you",و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع,ومرسي برشا على التوبيك لحلو هذا وانا نحب نشكرك على الجاست لحلوة اما الشباب ربي يهديهم وربي يخليك,وميرسى اوى على التوبيك الجميل اوى ده وانا أحب اشكرك علي هذا الرد الجميل أما بخصوص الشباب فربنا يهدي الجميع يا رب الله يخليك,وشكرا كتير على الموضوع الحلو كثير وبشكرك على الرد الحلو . اما بخصوص الشباب ف الله يهديهم .,شكرا كتير على هالموضوع الحلو هدا وكمان بحب اشكرك على ردك المميز اما بخصوص الشباب بتمنى ربنا يهديهم والله يخليك,شكرا كتير على التوبيك الحلو كتير هاد وأنا بحب أشكرك  على هالرد الجميل أما بخصوص الشباب الله  يهدي الجميع يارب الله يخليك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
Source: Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you
Translation: ",شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
"no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way",هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار,الناس هذوما ما يفهموش اما انت تعرف كان الالمبيادهاذي في الهنديمكن كنت نصدق اللي الشعار يعملوه هكا,لا الناس دى بتفهم بس انت عارف لو الاولمبياد دى فى الهند كنت ممكن اصدق ان هم بيعملوا الشعار كده,لا الناس هاي بتفهم عارف لو الاولمبياد في الهند كنت ممكن اصدق انهم بعملو الشعار هيك,لا هدول بفهموا بس انت عارف لو الالومبياد هدي في الهند ممكن اصدق انو هم بيسووا هيك شعار,لا الناس هي بتقهم بس أنت بتعرف لو الأولمبيات هي في الهند كنت ممكن أصدق أن هن بيعملوا الشعار هاد,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار
Source: no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way
Translation: ",لا، هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار
While every guys that wants to be with a girl for real and take most of what he wants from her,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,كل شب بدو جد يرتبط ببنت اخذ منها كل الي بدو اياه,من ناحيه ثانيه كل شب برفض يرتبط  بالبنت اللي اخذ منها اللي بدو اياه,في الأغالب أن كل شاب رح يرفض انو يرتبط بفتاة أخد منها معظم الي بدو ياه,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
Source: While every guys that wants to be with a girl for real and take most of what he wants from her
Translation: ",وفي حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
The letter of this type I appreciate it a lot and keep it for me always,الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً,الجواب اللي من النوع هذا انا نعتز بيها برشا و نخليها ديما عندي,الرساله بقي اللي من النوعيه دي انا بعتز بيها جدا وبخليها عندي دائما,الرسالة الي من النوعية هاي انا بعتز فيها كتير وبخليها عندي,الرساله اللي هيك انا بعتز فيها  كتير وبخليها معي دايما,الرسالة الي من هالنوعية أنا بتشرف فيها وبخليها عندي على طول,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً
Source: The letter of this type I appreciate it a lot and keep it for me always
Translation: ",رسالة هذا النوع أنا أعتز بها جداً وأتركها عندى دائماً
And some people gets mad of each other and dear ones who leave each other,وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم,فما ناس يتغششوا على بعضهم وأحباب يبعدوا على بعضهم,وفى ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,وفي ناس بزعلو من بعض وحبايب بتفرقو عن بعض,وفي نا بتتزاعل وحبايب بفترقوا,وفي ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
Source: And some people gets mad of each other and dear ones who leave each other
Translation: ",وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
but the truth is that we hear good words from each other,ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,اما الحقيقة اننا نسمعوا بعضنا كلام باهي و موش باهي,لكن الحقيقة أننا نسمع من بعضنا الطيب كلام ا ليس طيب ا,الحقيقة انا بنسمع حكي حلو من بعضنا,ولكن في الواقع بنسمع من البعض اللي ببين انو طيب( كلام مش طيب ),لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض
Source: but the truth is that we hear good words from each other
Translation: ",ولكن الحقيقة أننا نسمع من بعضنا كلام طيب عن بعض
"Play for him the song,  we love you ass",نقوم بتشغيل أغنية بنحبك يا حمار,نحطولوا غناية بنحبك يا حمار,نشغله اغنية بنحبك يا حمار,نشغلو اغنية بحبك يا حمار,نشغله اغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.نقوم بتشغيل أغنية بنحبك يا حمار
Source: Play for him the song,  we love you ass
Translation: ",لعب له أغنية ، نحبك يا حمار
