en,msa,tn,eg,jo,pa,sy,prompt,response
god help the Muslims and Islam,ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و دائما يديه فى جيبه و رغم ان الولد كثير الرزق لديه سياره مصريه
Source: and his hand is always in his pocket, and although the boy is winning, he has a car..Egyptian Environment
Translation: <|im_end|>
<|im_start|>assistant
ديما يدو في جيبو وبرغم هذاك كرهبتو لا علاقة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بالتأكيد البنات بمعنى أننى لا استطيع رؤية بنت جميلة و عليا ان اركز فيها كثيراً
Source: certainly girls meaning that I cannot see a beautiful girl and focus a lot,
Translation: <|im_end|>
<|im_start|>assistant
اكيد اكيد البنات يعني انا ما نجمش نشوف بنية مزيانة و نركز برشا موش مزيانة برشا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: <|im_end|>
","
رَبِّنَا نَصِّرِ الإِسْلاَمَ وَالْمُسْلِمِينَ جَزَاكَ اللَّهُ كُلَّ خَيْرٍ"
"actually he reminds me about the Brazilian legend ""Beleeh"" .",بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة إفكرني ببيلي الاسطورة البرازيلي,الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اكتب  بطريقه  صحيحه  دون ان  يلقننى احد.
Source: and I answer it correct and without cheating
Translation: <|im_end|>
<|im_start|>assistant
أنا نكتب بصحيح وحد مايغشني<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.العصائر وهذا الذى لا يراه الكثير من الناس
Source: juices and this is who a lot of people do not take care of
Translation: <|im_end|>
<|im_start|>assistant
العصير هذا اللي الناس ما تردش بالها منو<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: <|im_end|>
","<tool_call>
بصريح العز بيكون يذكري بأسطورة البرازيل بيلى"
that is rapping the entire body of woman,يغتصب جسم المرأه كله,يعني يغتصب بدن لمراء الكل,يعنى بيغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأة,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اقسم بالله ان الموضوع جميل الرب يحفظك
Source: i wear great subject really god help you all
Translation: <|im_end|>
<|im_start|>assistant
والله موضوع طيارة ماشاء الله عليك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.القبر  كتب  على  جميع البشر .
Source: this grave has been written upon all people
Translation: <|im_end|>
<|im_start|>assistant
القبر مكتوب على الناس الكل<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: <|im_end|>
","
يغتصب جسم المرأه كلها"
Habhoob.,هبهههوب,هبهههوب,هبهههوب,هبهووووب,هيهههوب,هبههههههههههههههههههههههوب,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ههه
Source: hehehehe
Translation: <|im_end|>
<|im_start|>assistant
ههههه<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ههه
Source: haha
Translation: <|im_end|>
<|im_start|>assistant
ههه<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هبهههوب
Source: Habhoob.
Translation: <|im_end|>
","
Habhoob."
Computer?,كمبيوتر ؟,ارديناتور؟,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مات كشهيد
Source: Here he died a martyr
Translation: <|im_end|>
<|im_start|>assistant
هاو مات شهيد<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مبروك كارنيه المحاماة يا متر
Source: Congratulations on the laywer lisence
Translation: <|im_end|>
<|im_start|>assistant
مبروك رخصة المحاماة يا متر<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: <|im_end|>
","
كمبيوتر ؟"
I`m wondering what's the most thing that bothered you and affected your life,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,شو اكتر اشي دايقك واثر على حياتك,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا يوجد شئ بدون حل  كل مشكله و لها حل
Source: there is nothings without solving every problem have solution
Translation: <|im_end|>
<|im_start|>assistant
مافماش حاجة ماعندهاش حل فما حل لكل مشكلة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل  من  الممكن  حدوث انسداد فى الانابيب  خلال  الوقت  بعد  الاشعه .
Source: Is it possible that the tubes get blocked after the analysis
Translation: <|im_end|>
<|im_start|>assistant
تنجم تتسكر انابيب بعد الأشعة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: <|im_end|>
","
ما هي الأمر الأعظم يضايقك ويفيض على حياتك؟"
Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و أيضاً فى مصر هناك العديد من الشيوخ و أئمة المساجد و الأطباء و المهندسين و ناس اخرى على خلق كبير
Source: And also in Egypt there is Sheikhs, Mosque imams doctors and engineers, and people with very high moral character
Translation: <|im_end|>
<|im_start|>assistant
و زادة في مصر فما شيوخ وائمة الجوامع و دكاترة و مهندسين و ناس اخلاقها عالية برشا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وأنا بنت محظوظة فيوجد الكثير من البنات فى أحوال سيئة هل رأيت الحكايات التى فاجئتنى أنا شخصيا ً منذ أن أصبحت والدتى مهتمه بهذا الموضوع
Source: And I am from the luckiest girl, because there are worse, did you see these stories, which surprised me personally, since my mother became interested in that topic.
Translation: <|im_end|>
<|im_start|>assistant
و انا اكثر بنية مزهارة على خاطرني في مرحلة خايبة و اللي فاجئني اهتمام امي بالموضوع هذا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: <|im_end|>
",السيد انا دايما قاطع الخناق على مراتي و احرمها من الخروج و لبس الفساتين و كل همي هو ان احفظ الاطفال اسامي الصحابة و الاحاديث حتى يبقى جفونى جافة
then you are asking i am asking about what they are doing so,ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا,ومبعد تسألني شبيهم يعملوا هكا,وبعدين إنتا بتسألنى أنا متسأل الى بيعملوا كده,"انت بتسألني انا ليش , اسال الي بعملو هيك",وبعدين ليش بتيال فيي اسال اللي بسووا هيك,وبعدين أنت ليش عم تسألني أسأل الي عم يعملو هيك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لكن هذا ليس تصريح ان تضعى صورتى هكذا امام المنتدى .
Source: but this does not mean to put a picture in front of the club
Translation: <|im_end|>
<|im_start|>assistant
اما هذا ما يخليكش تحط تصويرتي هكا في المنتدى<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و انا معكم تماما فى هذا الموضوع
Source: To which I agree with you.
Translation: <|im_end|>
<|im_start|>assistant
وأنا والله موافقكم في الموضوع هذا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
Source: then you are asking i am asking about what they are doing so
Translation: <|im_end|>
","
ثم تسألني وأنا السؤال لماذا يفعلوا هكذا"
isn't there any body to do me a favor and kidnap me too!!,هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,حد ما يكسب فيا ثواب و يخطفني انا زادة,ماحدش يكسب فيا ثواب ويخطفني انا كمان !!,يا ريت حد يخطفني ويكسب فيا ثواب,الحكاية بطيخ خالص ..,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مثل ما هناك شخص قال اذا استيقظنا و وجدنا مارشات عسكريه و الرئيس توفى ما عاذ الله !!
Source: Nobody said if we woke up and find American soldiers and the president dead .
Translation: <|im_end|>
<|im_start|>assistant
علاش ما فما حد قال كان قمنا ولقينا عصابات ورئيس مات لا قدر الله<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من الممكن أن يسبب لنفسه المشاكل إذا أحد اكتشف إنه يتحدث معى !!!
Source: Possible to go in Meseh      If they find that he talk with me me.
Translation: <|im_end|>
<|im_start|>assistant
ويمكن يمشي فيها كان يفيقوا بيه يكلم فيا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!
Source: isn't there any body to do me a favor and kidnap me too!!
Translation: <|im_end|>
","
هل فما حد يفعل لي خير ويختطفني معا"
"a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you",الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم,الصاحب ياقف مع صاحبو في الباهي و الخايب ما يحشمش منو يفرح لفرحو و يحزن لحزنو ويكون حكيم في رأيه معاك,الصديق يقف جنب صديقه فى السراء ووالضراء مايتكسفش منه فى اى حاجة يفرح لفرحه ويزعل لزعله يكون رأيه حكيم معاك,الصديق بيوقف جنب صديقو في الفرح والحزن ما بيخجل منو بأي اشي بفرح لفرحو وبزعل لزعلو وبعطيك رأي صحيح,الصديق بكون دايما جنب صديقه في السراء والضراء وما بخجل منه وبفرح لفرحه وبحزن لحزنه وبيحاول يدله على الصح,الرفيق بيوقف جنب رفيقو في السراء والضراء وما بيخجل منو في أي شي بيفرح لفرحه وبيزعل لزعلو ويكون رأيه مظبوط معه,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مرحباً بكى يا هبه نحن مشتاقين اليكِ و الله سيجعل كل شىء جيد ، شكراً على مشاركتك الطيبة و نتمنى لكِ أياماً سعيدة ولكن هذه السيدة
Source: You are lightening Heba, we missed you. God make it all good. Thank you for passing by, and hopefully all your days will be happy, but this lady
Translation: <|im_end|>
<|im_start|>assistant
منورة يا هبة والله ليك وحشة و ان شاء الله خير نشكرك على مرورك لحلو و يا رب تكون ايامك الكلها سعيدة اما المرا هذي<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و أتمنى ان يتحقق كل سنة و ان تكونوا فى صحة جيدة و من يتمنى شىء لتحقيقه الرب يساعده فيها
Source: and I wish it come true every year and you are in good healthy and who wants something to implement. I hope anyone contributes
Translation: <|im_end|>
<|im_start|>assistant
وماذابيكم يتحقق كل عام و انتوما طيبين واللي يتمنى حاجة يحققها يا ربي اي واحد يحب يشارك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
Source: a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you
Translation: <|im_end|>
",صديقو يقف جنبك فالسعادة و الشدة ما خجل منكش فيشىء، يفرح لفرحك و يحزن لحزنتك و يفكر بفكرة حكيمة ليك
To film ironing and cheese.,حتى نصور المكواه والجبن,باش نصوروا مكة و قريش,علشان نصور المكوة والقريش ..,علشان نصور المكوة والجبنة,علشان نصور المكوة والقريش ..,مشان نصور المكوية والفرش ....,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حتى و إن كانت منسوخة فأعتقد أنها مفيدة ومعبرة
Source: even if it was copied but i think it is useful and expressive.
Translation: <|im_end|>
<|im_start|>assistant
حتى لو كانت منقلة نتصورها تكون مفيدة و معبرة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من حقنا ان نحلم  و نرى ما بالدنيا
Source: it is our truth dream and if like this ...and like this and we will see life is sweet
Translation: <|im_end|>
<|im_start|>assistant
من حقنا نحلموا ونشوفوا الدنيا باهية<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حتى نصور المكواه والجبن
Source: To film ironing and cheese.
Translation: <|im_end|>
","
نصور الحديد والجبن"
I am not more expensive than a pearl...,انا لست أغلى من الدره .,انا مانيش اغلى من الدرة,أنا مش أغلى من الدره ...,انا مش اغلى من الجوهرة,انا مش اغلى من الدره ...,"أنا مو أغلى من الدره ,,,,,","<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يا أستاذ سيد إنهم يغيرون فى الدستور
Source: O Uncle Sid, they make changes in the Constitution
Translation: <|im_end|>
<|im_start|>assistant
يا عمي سيد يبدلوا في الدستور<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.نحن فى  خدمتك . الاغنيه  رائعه  وصراحتا  اتعبتنى .
Source: Any service for you! a beautiful song but in all honesty its tiring.
Translation: <|im_end|>
<|im_start|>assistant
اي خدمة الغناية حلوة و بصراحة اتعب<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انا لست أغلى من الدره .
Source: I am not more expensive than a pearl...
Translation: <|im_end|>
","
أنا مش أغلى من الدرة"
And the watermelon will be bald anyway,و على اى حال نكتشف ان البطيخة فاسدة,البطيخة يا تطلع قرعة ولا قرعة,ويا تطلع البطيخه قرعه يا قرعه,البطيخة رح تطلع قرعة بكل الاحوال,ويا تطلع البطيخه تفله يا تفله,ويا تطلع البطيخة قرعه يا قرعه,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أتمنى الأجابه عليه فأنا حقا أريد المعرفة
Source: I wish an answer for it. I really want to know.
Translation: <|im_end|>
<|im_start|>assistant
نتمنى الجواب عليه بالحق نحب نعرف<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لكى نستفيد انا و انت
Source: so that we get benefits
Translation: <|im_end|>
<|im_start|>assistant
باش إنت وأنا نستفادوا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و على اى حال نكتشف ان البطيخة فاسدة
Source: And the watermelon will be bald anyway
Translation: <|im_end|>
","
و على أى حال النكتش إن البطيخة فاسدة"
"so I hit him with a stick in his head, so I wiped his blood",و قمت بضربه بالعصا على رأسه فغرق فى دمائه,ضربتلوا راسوا بالعكاز كسرتهولوا و سيحت دموا,رحت راقعة بالعكاز فى ام نافوخه رحت مسيح دمه,ضربتو بالعكازة في نص راسو طيحت دمو,ضربته بالعصا  على راسه ونزلتله دمه,رح ضربتها بالعكازه هي نص راسو  وخليت الدم للركب,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بلد فاسدة قد أصابها الحقد و أعمى قلوب أهلها
Source: Country girl dog hit by hatred and blind hearts of its people
Translation: <|im_end|>
<|im_start|>assistant
بلاد كلبة صادها الحقد و عمات قلوب عبادها<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وإذا امسكتى به سيقول لك أنا نازل ويغلق الباب بسرعة
Source: and if you caught him , he would say : i`m going out , and quickly slams the door
Translation: <|im_end|>
<|im_start|>assistant
و كان شديتو توا يقلك انا هابط ويسكر الباب فيسع<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و قمت بضربه بالعصا على رأسه فغرق فى دمائه
Source: so I hit him with a stick in his head, so I wiped his blood
Translation: <|im_end|>
","
و ضربتو بيه عصا ف راسو وغرقيتو فدمو"
"How are you, and what are your news",كيف حالك و كيف اخبارك ؟,شنحوالك شعامل,ازيك واكيف اخبارك,كيفك شو اخبارك؟,كيف حالك وشو اخبارك ؟,كيفك وشو أخبارك ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك يا حنون إستقت إليك
Source: How are you, Hanoun, I miss you!
Translation: <|im_end|>
<|im_start|>assistant
شحوالك يا حنينة توحشتك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حال صحتك؟
Source: how is the health
Translation: <|im_end|>
<|im_start|>assistant
شحوال الصحة؟<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك و كيف اخبارك ؟
Source: How are you, and what are your news
Translation: <|im_end|>
","
شحوالك و شو اخبارك؟"
"you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do",إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله,انت باش تدخل الجنة وانا باش ندخل النار و باش تعمل الحرام الكل اللي انا نعمل فيه,إنت هتخش الجنة وأنا هاخش النار وهتعمل كل الحرام اللي أنا باعمله,انت رح تدخل الجنة وانا النار ورح تعمل كل الحرام الي انا بعملو,انت رح تدخل الجنه وانا بدخل النار حتى لو عملت نفس الحرام اللي انا عملته,إنت رح تدخل الجنة وأنا رح أدخل النار ورح تعمل كل الحرام الي أنا بعملو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.على سبيل المثال إذا أخبرت خطيبتى إنها لن تعمل سوف تعتقد أننى أظلمها و أنها نصف المجتمع و إن حقها مهدر
Source: I mean for example if I say to my fiancee she will think that I am not being fair with her and I am half of the society and that I am wasting her rights
Translation: <|im_end|>
<|im_start|>assistant
يعني مثال انا كان قلت لخطيبتي ما تخدمش بش يجي في مخها اني نضلم فيها و انها نصف المجتمع و ان حقوقها ضايعة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كل الأحداث تتوالى بسرعة .. أرفع درجة الأستعداد يا شوشو .. تصحبك اللعنة
Source: every thing on his ear..rise the preparing level shosho...damn be with you
Translation: <|im_end|>
<|im_start|>assistant
الكلكم على وذنيكم..هز درجة الإستعداد يا شوشو..تلصقك اللعنة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
Source: you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do
Translation: <|im_end|>
",نتي في الجنة وانا في النار ونتي عمل كل ما حرمة ما عمله
"The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand",والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,و الطبيب حس بخيبة امل اما اتفا جأ بيدين مهزوزة و طلعت يد سليم,والدكتور شعر بخيبة آمل ولكنه أتفاجأ بأيد مرفوعة علي استحياء انها يد وسيم,"والدكتور خاب املو بس اتفاجأ بايد مرفوعة بخجل , ايد وسيم",حس الدكتور بخيبة امل بس تفاجأ بايد مرفوعة بتردد وهي ايد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وماذا ستفعل عندما تجد أحد أصحابك أو أقاربك
Source: what would you do if you found one of your friends or relatives
Translation: <|im_end|>
<|im_start|>assistant
زعمة شنوى تعمل كان لقيت واحد من صحابك ولا اقاربك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لأستكمال رغيف الخبز و توزيعه وبالطبع يجب ان تكون الحكومة تمتلك الأفران البديلة
Source: to completed the bread and distribution and of course at that point the government have replaced ovens
Translation: <|im_end|>
<|im_start|>assistant
باش يكملوا الخبز متاع كل يوم و يوزعوه و طبعا هنا لازم الحكومة يكون عندها الكوش البديلة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم
Source: The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand
Translation: <|im_end|>
","
الدكتور كان مرفوع الأمل بس فاجأ بيد مرفوعة بإنطلاق شحيحة كان هيا يد وسييم"
"and from their evil, and when they were kind god said about them Truly mighty is women snare",و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,ومن شرهن ده لما كانو طيبين وبحالهن قال ربنا عنهم ان كيدهن عظي,ومن شرهن هاد ربنا حكى عنهم ان كيدهن عظيم,ومن شرهم هدا وزمان وهن طيبات في حالهن الله قال عنهن ان كيدهن عظيم,ومن شرهن هاد لما كانو طيبين وبحالن قال الله عنهم ( إن كيدهن عظيم ),"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لماذا يا وائل شعبنا طيب و عظيم ولكن
Source: Why Wael our nation is good and great but ...
Translation: <|im_end|>
<|im_start|>assistant
علاش ياوائل هكا شعبنا طيب وعظيم اما...<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لدينا عادات و لدينا شرف من اللازم نحافظ عليهم كفتيات
Source: we have Habits and honor we have to keep it as girls  keep it
Translation: <|im_end|>
<|im_start|>assistant
عندنا عادات وشرف ونحنا لبنات لازم نحافظوا عليه<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Source: and from their evil, and when they were kind god said about them Truly mighty is women snare
Translation: <|im_end|>
","
عندما كانوا طيبات و الله قال عنهن إن كيدهن عظيم"
"We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.",من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا,احنا لازم نعرفوا انا تغلبنا و نستعرفوا اما لازم نعرفوا اللي العدو ما ينجمش يولي صاحب و لازم نقول لولادنا ان هذاكا عدونا,احنا لازم نعرف اننا مهزومين ونعترف بكدة لكن لازم نعرف ان االعدو مش ممكن يبقى صديق ولازم نعلم ولادنا ان ده عدونا,احنا لازم نعترف انا مغلوبين ولازم نعرف انو العدو مستحيل يكون صديق ولازم نحكي لولادنا مين هو عدونا,احنا لازم نعترف بالهزيمه بس لازم نعرف كمان انو العدو ولا مره ممكن يصير صديق وواجب علينا نبين لولادنا انو هدا عدونا,نحنا لازم نعرف أننا خسارنين ونعترف بهيك لكن لازم نعرف أن العدو مو  ممكن أنو صديق ولازم نعلم ولادنا أنو هاد عدونا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.إنى أسمع هذا الموضوع لأول مرة و أرجو ألا يزايد أحد على شبك أم نبيل و بشكل عام كل الشبكات اصبحت مثل بعض و كلهم سيئين
Source: I first time hearing this topic and no need for any one to say bade  on Um Nabeel site and in general all sites became as like bad
Translation: <|im_end|>
<|im_start|>assistant
انا اول مرة نسمع على الموضوع هذا و مش لازم تتبولدوا على شبكة ام نبيل و حصيلو الشبكات الكل ولاو كيف كيف خيبين<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أشكرك يا هاجر و لكن الدموع لا تعني بالضرورة الحزن قد تعني دموع الفرحة و هو أكتر نوع أحبه بعد البكاء من خشية الله
Source: Thank you Hajer, the tears doesn't necessarily means sadness, it might mean tears of happiness which is the type of crying I love is fearing god
Translation: <|im_end|>
<|im_start|>assistant
شكرا يا هاجر اما الدموع ما تعنيش بالضرورة الحزن يمكن تعني دموع الفرحة وهو اكثر نوع نحبو بعد البكاء من خشية الله<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا
Source: We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.
Translation: <|im_end|>
",من المهم تعرفوا اننا قد خسرنا و نعتبر بذلك و لكن يجب تعرفوا ان العدو ما يقدملش يصير صديق و نتعلم ولادنا ان هذا هو عدونا
