eg,en,jo,msa,pa,sy,tn,prompt,response
ولوعه وأسى ... ومش أى حد بيقدر يكتمه ...,"Even if it on my head, not everyone can keep it down.",ولوعة وحزن ... مش اي حد بقدر يخبيه,لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....,ولوعه وحزن ..ومش اي حدا بقدر يكتمه..,وشوق وأسى .... ومو أي حدا بيقدر يخبيه .....,ولوعه وأسى ... وموش أي واحد ينجم يخبيه ...,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الكشرى يكون خالى من العدس و به المزيد من الورد والدقة .
Source: the Koshari without beans is accurate
Translation: <|im_end|>
<|im_start|>assistant
نحب صحن كشري بلاش عدس و غارق في الدقة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....
Source: Even if it on my head, not everyone can keep it down.
Translation: <|im_end|>
","
لوعه وأسى... ولا يوجد احد يستطيع أن يكتمه..."
بس ياريت يا جماعة الردود متنكنش بس مشجعة كمان تكون ردود تحتوي على اضافه جديدة او معلومة جديدة متعلقة بالموضوع,"but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject",يا جماعة ما تخلو الردود بس مشجعة خلوها كمان اضافة جديدة ومتعلقة بالموضوع,برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,يا ريت الردود ما تكون بس تشجيع بتمنى تكون تحتوي على اضافه او معلومه مهمه متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,اما ياريت يا جماعة الردود ماتكونش مشجعة اكهو لازم تكون زادة ردود فيهااضافة جديدة او معلومة جديدة متعلقة بالموضوع,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وأنا جئت اليوم إن شاء الله حتى أكمل جزء بسيط من الموضوع الذى بدأناه المرة السابقة وهو تقويم الأسنان .
Source: The day came so that I finish some of the topic that we started last time, which is the orthodontic
Translation: <|im_end|>
<|im_start|>assistant
و هاو جاء النهار اللي انشاء الله باش نكملوا جزء صغير من الموضوع اللي بديناه المرة اللي فاتت و هو تقويم الاسنان<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
Source: but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject
Translation: <|im_end|>
",نرجو من الجميع أن تكون تعليقاتكم ليست فقط مشجعة بل تحتوى أيضاً على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,god help the Muslims and Islam,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و دائما يديه فى جيبه و رغم ان الولد كثير الرزق لديه سياره مصريه
Source: and his hand is always in his pocket, and although the boy is winning, he has a car..Egyptian Environment
Translation: <|im_end|>
<|im_start|>assistant
ديما يدو في جيبو وبرغم هذاك كرهبتو لا علاقة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: <|im_end|>
","://
ربنا ينصروا الإسلام والمسلمين شكرا لله على كل خير"
الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,"actually he reminds me about the Brazilian legend ""Beleeh"" .",الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,بصراحة إفكرني ببيلي الاسطورة البرازيلي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اكتب  بطريقه  صحيحه  دون ان  يلقننى احد.
Source: and I answer it correct and without cheating
Translation: <|im_end|>
<|im_start|>assistant
أنا نكتب بصحيح وحد مايغشني<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: <|im_end|>
","
بالحقيقة يذكرني بالأسطورة البرازيلية ""بيليه"""
يعنى بيغتصب جسم المرأه كله,that is rapping the entire body of woman,يعني بغتصب كل جسم المرأة,يغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,يعني يغتصب بدن لمراء الكل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اقسم بالله ان الموضوع جميل الرب يحفظك
Source: i wear great subject really god help you all
Translation: <|im_end|>
<|im_start|>assistant
والله موضوع طيارة ماشاء الله عليك<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: <|im_end|>
","
يغتصب جسم المرأه كله"
هبهههوب,Habhoob.,هبهووووب,هبهههوب,هيهههوب,هبههههههههههههههههههههههوب,هبهههوب,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ههه
Source: hehehehe
Translation: <|im_end|>
<|im_start|>assistant
ههههه<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هبهههوب
Source: Habhoob.
Translation: <|im_end|>
","
حابوب"
كمبيوتر ؟,Computer?,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,ارديناتور؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مات كشهيد
Source: Here he died a martyr
Translation: <|im_end|>
<|im_start|>assistant
هاو مات شهيد<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: <|im_end|>
","
كمبيوتر ؟"
يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,I`m wondering what's the most thing that bothered you and affected your life,شو اكتر اشي دايقك واثر على حياتك,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا يوجد شئ بدون حل  كل مشكله و لها حل
Source: there is nothings without solving every problem have solution
Translation: <|im_end|>
<|im_start|>assistant
مافماش حاجة ماعندهاش حل فما حل لكل مشكلة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: <|im_end|>
","
ما هو الأعظم شئ يؤلمك ويفيض على حياتك؟"
السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و أيضاً فى مصر هناك العديد من الشيوخ و أئمة المساجد و الأطباء و المهندسين و ناس اخرى على خلق كبير
Source: And also in Egypt there is Sheikhs, Mosque imams doctors and engineers, and people with very high moral character
Translation: <|im_end|>
<|im_start|>assistant
و زادة في مصر فما شيوخ وائمة الجوامع و دكاترة و مهندسين و ناس اخلاقها عالية برشا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: <|im_end|>
","
السيد أنا كتير مريض الخناق على مراتي وآمرهاش تخرج وترتدي الفساتين وكل همي هو أن أحفظ ولادي أسماء الصحابة والأحاديث."
وبعدين إنتا بتسألنى أنا متسأل الى بيعملوا كده,then you are asking i am asking about what they are doing so,"انت بتسألني انا ليش , اسال الي بعملو هيك",ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا,وبعدين ليش بتيال فيي اسال اللي بسووا هيك,وبعدين أنت ليش عم تسألني أسأل الي عم يعملو هيك,ومبعد تسألني شبيهم يعملوا هكا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لكن هذا ليس تصريح ان تضعى صورتى هكذا امام المنتدى .
Source: but this does not mean to put a picture in front of the club
Translation: <|im_end|>
<|im_start|>assistant
اما هذا ما يخليكش تحط تصويرتي هكا في المنتدى<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
Source: then you are asking i am asking about what they are doing so
Translation: <|im_end|>
","
ثم تسألني وأنا السؤال لماذا يفعلون هكذا"
ماحدش يكسب فيا ثواب ويخطفني انا كمان !!,isn't there any body to do me a favor and kidnap me too!!,يا ريت حد يخطفني ويكسب فيا ثواب,هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,الحكاية بطيخ خالص ..,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,حد ما يكسب فيا ثواب و يخطفني انا زادة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مثل ما هناك شخص قال اذا استيقظنا و وجدنا مارشات عسكريه و الرئيس توفى ما عاذ الله !!
Source: Nobody said if we woke up and find American soldiers and the president dead .
Translation: <|im_end|>
<|im_start|>assistant
علاش ما فما حد قال كان قمنا ولقينا عصابات ورئيس مات لا قدر الله<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!
Source: isn't there any body to do me a favor and kidnap me too!!
Translation: <|im_end|>
","
هل يوجد حد يفعل لي خير ويفترسني كمان!!
Translation:"
الصديق يقف جنب صديقه فى السراء ووالضراء مايتكسفش منه فى اى حاجة يفرح لفرحه ويزعل لزعله يكون رأيه حكيم معاك,"a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you",الصديق بيوقف جنب صديقو في الفرح والحزن ما بيخجل منو بأي اشي بفرح لفرحو وبزعل لزعلو وبعطيك رأي صحيح,الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم,الصديق بكون دايما جنب صديقه في السراء والضراء وما بخجل منه وبفرح لفرحه وبحزن لحزنه وبيحاول يدله على الصح,الرفيق بيوقف جنب رفيقو في السراء والضراء وما بيخجل منو في أي شي بيفرح لفرحه وبيزعل لزعلو ويكون رأيه مظبوط معه,الصاحب ياقف مع صاحبو في الباهي و الخايب ما يحشمش منو يفرح لفرحو و يحزن لحزنو ويكون حكيم في رأيه معاك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مرحباً بكى يا هبه نحن مشتاقين اليكِ و الله سيجعل كل شىء جيد ، شكراً على مشاركتك الطيبة و نتمنى لكِ أياماً سعيدة ولكن هذه السيدة
Source: You are lightening Heba, we missed you. God make it all good. Thank you for passing by, and hopefully all your days will be happy, but this lady
Translation: <|im_end|>
<|im_start|>assistant
منورة يا هبة والله ليك وحشة و ان شاء الله خير نشكرك على مرورك لحلو و يا رب تكون ايامك الكلها سعيدة اما المرا هذي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
Source: a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you
Translation: <|im_end|>
",صديقو كايقف بجانب صديقو فالسعاده و الشدة و ما يخجل منو فشيء، يفرح لفرحو و يحزن لحزنو، و يشاركك الرأي الحكيم.
علشان نصور المكوة والقريش ..,To film ironing and cheese.,علشان نصور المكوة والجبنة,حتى نصور المكواه والجبن,علشان نصور المكوة والقريش ..,مشان نصور المكوية والفرش ....,باش نصوروا مكة و قريش,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتى و إن كانت منسوخة فأعتقد أنها مفيدة ومعبرة
Source: even if it was copied but i think it is useful and expressive.
Translation: <|im_end|>
<|im_start|>assistant
حتى لو كانت منقلة نتصورها تكون مفيدة و معبرة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتى نصور المكواه والجبن
Source: To film ironing and cheese.
Translation: <|im_end|>
","
حتى نصور المكواه والجبن"
أنا مش أغلى من الدره ...,I am not more expensive than a pearl...,انا مش اغلى من الجوهرة,انا لست أغلى من الدره .,انا مش اغلى من الدره ...,"أنا مو أغلى من الدره ,,,,,",انا مانيش اغلى من الدرة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يا أستاذ سيد إنهم يغيرون فى الدستور
Source: O Uncle Sid, they make changes in the Constitution
Translation: <|im_end|>
<|im_start|>assistant
يا عمي سيد يبدلوا في الدستور<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انا لست أغلى من الدره .
Source: I am not more expensive than a pearl...
Translation: <|im_end|>
","
انا مش أغلى من الدرة"
ويا تطلع البطيخه قرعه يا قرعه,And the watermelon will be bald anyway,البطيخة رح تطلع قرعة بكل الاحوال,و على اى حال نكتشف ان البطيخة فاسدة,ويا تطلع البطيخه تفله يا تفله,ويا تطلع البطيخة قرعه يا قرعه,البطيخة يا تطلع قرعة ولا قرعة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أتمنى الأجابه عليه فأنا حقا أريد المعرفة
Source: I wish an answer for it. I really want to know.
Translation: <|im_end|>
<|im_start|>assistant
نتمنى الجواب عليه بالحق نحب نعرف<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و على اى حال نكتشف ان البطيخة فاسدة
Source: And the watermelon will be bald anyway
Translation: <|im_end|>
","
الووترميلون هكذا سيكون بالطبع بالشعرية
Note: The translation provided is a literal translation and may not convey the intended meaning of the original text. The original text seems to be a colloquial expression, and its meaning is unclear."
رحت راقعة بالعكاز فى ام نافوخه رحت مسيح دمه,"so I hit him with a stick in his head, so I wiped his blood",ضربتو بالعكازة في نص راسو طيحت دمو,و قمت بضربه بالعصا على رأسه فغرق فى دمائه,ضربته بالعصا  على راسه ونزلتله دمه,رح ضربتها بالعكازه هي نص راسو  وخليت الدم للركب,ضربتلوا راسوا بالعكاز كسرتهولوا و سيحت دموا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بلد فاسدة قد أصابها الحقد و أعمى قلوب أهلها
Source: Country girl dog hit by hatred and blind hearts of its people
Translation: <|im_end|>
<|im_start|>assistant
بلاد كلبة صادها الحقد و عمات قلوب عبادها<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و قمت بضربه بالعصا على رأسه فغرق فى دمائه
Source: so I hit him with a stick in his head, so I wiped his blood
Translation: <|im_end|>
","
و قمت بضربه بالعصا على رأسه فغرق فية دماءه"
ازيك واكيف اخبارك,"How are you, and what are your news",كيفك شو اخبارك؟,كيف حالك و كيف اخبارك ؟,كيف حالك وشو اخبارك ؟,كيفك وشو أخبارك ؟,شنحوالك شعامل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كيف حالك يا حنون إستقت إليك
Source: How are you, Hanoun, I miss you!
Translation: <|im_end|>
<|im_start|>assistant
شحوالك يا حنينة توحشتك<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كيف حالك و كيف اخبارك ؟
Source: How are you, and what are your news
Translation: <|im_end|>
","
شحوالك و شحوار اخبارك ؟"
إنت هتخش الجنة وأنا هاخش النار وهتعمل كل الحرام اللي أنا باعمله,"you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do",انت رح تدخل الجنة وانا النار ورح تعمل كل الحرام الي انا بعملو,إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله,انت رح تدخل الجنه وانا بدخل النار حتى لو عملت نفس الحرام اللي انا عملته,إنت رح تدخل الجنة وأنا رح أدخل النار ورح تعمل كل الحرام الي أنا بعملو,انت باش تدخل الجنة وانا باش ندخل النار و باش تعمل الحرام الكل اللي انا نعمل فيه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.على سبيل المثال إذا أخبرت خطيبتى إنها لن تعمل سوف تعتقد أننى أظلمها و أنها نصف المجتمع و إن حقها مهدر
Source: I mean for example if I say to my fiancee she will think that I am not being fair with her and I am half of the society and that I am wasting her rights
Translation: <|im_end|>
<|im_start|>assistant
يعني مثال انا كان قلت لخطيبتي ما تخدمش بش يجي في مخها اني نضلم فيها و انها نصف المجتمع و ان حقوقها ضايعة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
Source: you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do
Translation: <|im_end|>
","
أنت ستبقين في الجنة وأنا سأكون في النار، وسوف تفعل كل ما هو محرم الذي أفعل"
والدكتور شعر بخيبة آمل ولكنه أتفاجأ بأيد مرفوعة علي استحياء انها يد وسيم,"The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand","والدكتور خاب املو بس اتفاجأ بايد مرفوعة بخجل , ايد وسيم",والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,حس الدكتور بخيبة امل بس تفاجأ بايد مرفوعة بتردد وهي ايد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,و الطبيب حس بخيبة امل اما اتفا جأ بيدين مهزوزة و طلعت يد سليم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وماذا ستفعل عندما تجد أحد أصحابك أو أقاربك
Source: what would you do if you found one of your friends or relatives
Translation: <|im_end|>
<|im_start|>assistant
زعمة شنوى تعمل كان لقيت واحد من صحابك ولا اقاربك<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم
Source: The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand
Translation: <|im_end|>
","
الدكتور كان مرفوع الأمل لكن صدم بيد مرفوعة بطريقة هادئة إنها يد وسيمل"
ومن شرهن ده لما كانو طيبين وبحالهن قال ربنا عنهم ان كيدهن عظي,"and from their evil, and when they were kind god said about them Truly mighty is women snare",ومن شرهن هاد ربنا حكى عنهم ان كيدهن عظيم,و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هدا وزمان وهن طيبات في حالهن الله قال عنهن ان كيدهن عظيم,ومن شرهن هاد لما كانو طيبين وبحالن قال الله عنهم ( إن كيدهن عظيم ),ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لماذا يا وائل شعبنا طيب و عظيم ولكن
Source: Why Wael our nation is good and great but ...
Translation: <|im_end|>
<|im_start|>assistant
علاش ياوائل هكا شعبنا طيب وعظيم اما...<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Source: and from their evil, and when they were kind god said about them Truly mighty is women snare
Translation: <|im_end|>
","
و من شرورهم كناية كانوا طيبات و قال الله عنهن إن كيدهن عظيم"
احنا لازم نعرف اننا مهزومين ونعترف بكدة لكن لازم نعرف ان االعدو مش ممكن يبقى صديق ولازم نعلم ولادنا ان ده عدونا,"We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.",احنا لازم نعترف انا مغلوبين ولازم نعرف انو العدو مستحيل يكون صديق ولازم نحكي لولادنا مين هو عدونا,من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا,احنا لازم نعترف بالهزيمه بس لازم نعرف كمان انو العدو ولا مره ممكن يصير صديق وواجب علينا نبين لولادنا انو هدا عدونا,نحنا لازم نعرف أننا خسارنين ونعترف بهيك لكن لازم نعرف أن العدو مو  ممكن أنو صديق ولازم نعلم ولادنا أنو هاد عدونا,احنا لازم نعرفوا انا تغلبنا و نستعرفوا اما لازم نعرفوا اللي العدو ما ينجمش يولي صاحب و لازم نقول لولادنا ان هذاكا عدونا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنى أسمع هذا الموضوع لأول مرة و أرجو ألا يزايد أحد على شبك أم نبيل و بشكل عام كل الشبكات اصبحت مثل بعض و كلهم سيئين
Source: I first time hearing this topic and no need for any one to say bade  on Um Nabeel site and in general all sites became as like bad
Translation: <|im_end|>
<|im_start|>assistant
انا اول مرة نسمع على الموضوع هذا و مش لازم تتبولدوا على شبكة ام نبيل و حصيلو الشبكات الكل ولاو كيف كيف خيبين<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا
Source: We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.
Translation: <|im_end|>
",من المهم تعرفوا و ننكرع بذلك اننا قد هزمنا بس يجب تعرفوا ان العدو ما يصير صديق و ننزل لابنائنا ان هذا عدونا.
انا شفتها تمانيه بس هقول ايه هتنزل المره دى مروان,i did see here but i'll say what are you going to download this time Marwan,انا شفتها هون بس شو رح احكي شو بتنزل مروان,انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان,رح تنزل المره هاي يا مروان ان شفتها ثمانيه بس شو بدي احكي,أنا شفتها تمانية بس رح قول شو رح تنزل المرة هي مروان,أنا ريتها مع ثمانية وإنت باش تهبط توا يا مروان,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.عن موضعها الحقيقى لموضعها الاستعارى ، الأبداع هو تحطيم النقل وتفجيره
Source: from their true subject to its borrowed topic, it is the destruction of transfer and exploding it
Translation: <|im_end|>
<|im_start|>assistant
من بلاسطها الصحيحة لبلاسطها المستعارة الابداع هو تكسير النقل و تفجيره<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
Source: i did see here but i'll say what are you going to download this time Marwan
Translation: <|im_end|>
","
أنا رايتها هونيه و لكن ماذا أقول سأقوم بتسقط هذه المرة يا مروان"
ونستغل زكائنا ونختبر الانسان اللي ارتبطنا بيه واللي هنعيش معاه بقيت عمرنا,and exploits our intelligent and tested human who link with him and will live with him rest of our life,لازم نستغل ذكائنا ونختبر الانسان الي ارتبطنا فيه واللي رح نعيش معو طول عمرنا,ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر,وبذكائنا بنختبر الانسان اللي ارتبطنا فيه واللي بدنا نعيش معه لاخر حياتنا,وبنحاول نستغل زكائنا ونختبر الأنسان اللي ارتبطنا فيه  واللي رح نعيش معو باقي عمرنا,و نستغل ذكائنا و نجرب العبد اللي ارتبطنا بيه واللي باش نكمل معاه حياتي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بجانب الكليه ذهبت اليه و اطلعته على بطاقتى الشخصيه
Source: Next to the institute and I shown him my ID
Translation: <|im_end|>
<|im_start|>assistant
بجنب الفاك مشيت و وريتو بطاقتي الشخصية<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
Source: and exploits our intelligent and tested human who link with him and will live with him rest of our life
Translation: <|im_end|>
","
ونستغل ذكائنا ونتجرب الإنسان اللي رابطنا به وسنعيش معاه بقى العمر"
