eg,en,jo,msa,pa,sy,tn,prompt,response
وبعدين إنتا بتسألنى أنا متسأل الى بيعملوا كده,then you are asking i am asking about what they are doing so,"انت بتسألني انا ليش , اسال الي بعملو هيك",ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا,وبعدين ليش بتيال فيي اسال اللي بسووا هيك,وبعدين أنت ليش عم تسألني أسأل الي عم يعملو هيك,ومبعد تسألني شبيهم يعملوا هكا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
Source: then you are asking i am asking about what they are doing so
Translation: <|im_end|>
","
ثم أنت تسألني وأنا الذي أسأل لماذا يفعلون هكذا"
ماحدش يكسب فيا ثواب ويخطفني انا كمان !!,isn't there any body to do me a favor and kidnap me too!!,يا ريت حد يخطفني ويكسب فيا ثواب,هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,الحكاية بطيخ خالص ..,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,حد ما يكسب فيا ثواب و يخطفني انا زادة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!
Source: isn't there any body to do me a favor and kidnap me too!!
Translation: <|im_end|>
","
هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً!!
Target: எப்போது எவரும் எனக்கு ஒரு நல்ல செய்வினை செய்வார்கள் என்று என்னையும் கடந்து அடிக்க வைக்கின்றார்களா?"
الصديق يقف جنب صديقه فى السراء ووالضراء مايتكسفش منه فى اى حاجة يفرح لفرحه ويزعل لزعله يكون رأيه حكيم معاك,"a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you",الصديق بيوقف جنب صديقو في الفرح والحزن ما بيخجل منو بأي اشي بفرح لفرحو وبزعل لزعلو وبعطيك رأي صحيح,الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم,الصديق بكون دايما جنب صديقه في السراء والضراء وما بخجل منه وبفرح لفرحه وبحزن لحزنه وبيحاول يدله على الصح,الرفيق بيوقف جنب رفيقو في السراء والضراء وما بيخجل منو في أي شي بيفرح لفرحه وبيزعل لزعلو ويكون رأيه مظبوط معه,الصاحب ياقف مع صاحبو في الباهي و الخايب ما يحشمش منو يفرح لفرحو و يحزن لحزنو ويكون حكيم في رأيه معاك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
Source: a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you
Translation: <|im_end|>
","
அன்பனான நண்பன் அவனுடைய நலமான நேரங்களிலும் மற்றும் திடைகளிலும் நிற்கின்றான், அவனுக்கு எந்த காரணத்திற்கும் வழிகின்றான், அவனுடைய சந்தோஷத்திற்கு அந்தக் காட்சிகளை அளிக்கின்றான், அவனுடைய வருத்தத்திற்கு வருந்துகின்றான், நீங்கள் அவனுக்கு அருமையான கருத்து கொடுக்கின்றான்."
علشان نصور المكوة والقريش ..,To film ironing and cheese.,علشان نصور المكوة والجبنة,حتى نصور المكواه والجبن,علشان نصور المكوة والقريش ..,مشان نصور المكوية والفرش ....,باش نصوروا مكة و قريش,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتى نصور المكواه والجبن
Source: To film ironing and cheese.
Translation: <|im_end|>
","
அது தான் விசையாட்டு மற்றும் பாணாக்கம் படம் பிடிப்பது."
أنا مش أغلى من الدره ...,I am not more expensive than a pearl...,انا مش اغلى من الجوهرة,انا لست أغلى من الدره .,انا مش اغلى من الدره ...,"أنا مو أغلى من الدره ,,,,,",انا مانيش اغلى من الدرة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انا لست أغلى من الدره .
Source: I am not more expensive than a pearl...
Translation: <|im_end|>
","://
أنا لست أغلى من الدره."
ويا تطلع البطيخه قرعه يا قرعه,And the watermelon will be bald anyway,البطيخة رح تطلع قرعة بكل الاحوال,و على اى حال نكتشف ان البطيخة فاسدة,ويا تطلع البطيخه تفله يا تفله,ويا تطلع البطيخة قرعه يا قرعه,البطيخة يا تطلع قرعة ولا قرعة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و على اى حال نكتشف ان البطيخة فاسدة
Source: And the watermelon will be bald anyway
Translation: <|im_end|>
","://
எனினும், நான் நீர்த்தான் வள்ளிப்போவது வாய்ந்து விட்டது."
رحت راقعة بالعكاز فى ام نافوخه رحت مسيح دمه,"so I hit him with a stick in his head, so I wiped his blood",ضربتو بالعكازة في نص راسو طيحت دمو,و قمت بضربه بالعصا على رأسه فغرق فى دمائه,ضربته بالعصا  على راسه ونزلتله دمه,رح ضربتها بالعكازه هي نص راسو  وخليت الدم للركب,ضربتلوا راسوا بالعكاز كسرتهولوا و سيحت دموا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و قمت بضربه بالعصا على رأسه فغرق فى دمائه
Source: so I hit him with a stick in his head, so I wiped his blood
Translation: <|im_end|>
","
நான் அவரின் தலையில் கட்டையால் அடித்து, அவரின் இரத்தத்தை நீராட்டினேன்."
ازيك واكيف اخبارك,"How are you, and what are your news",كيفك شو اخبارك؟,كيف حالك و كيف اخبارك ؟,كيف حالك وشو اخبارك ؟,كيفك وشو أخبارك ؟,شنحوالك شعامل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كيف حالك و كيف اخبارك ؟
Source: How are you, and what are your news
Translation: <|im_end|>
","://நீங்கள் எப்படி இருக்கிறீர்கள், நீங்கள் என்ன செய்திகள்?"
إنت هتخش الجنة وأنا هاخش النار وهتعمل كل الحرام اللي أنا باعمله,"you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do",انت رح تدخل الجنة وانا النار ورح تعمل كل الحرام الي انا بعملو,إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله,انت رح تدخل الجنه وانا بدخل النار حتى لو عملت نفس الحرام اللي انا عملته,إنت رح تدخل الجنة وأنا رح أدخل النار ورح تعمل كل الحرام الي أنا بعملو,انت باش تدخل الجنة وانا باش ندخل النار و باش تعمل الحرام الكل اللي انا نعمل فيه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
Source: you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do
Translation: <|im_end|>
","
நீங்கள் சொர்க்கத்தில் இருப்பீர்கள், நான் நரகத்தில் இருப்பேன், நீங்கள் நான் செய்யும் அனைத்து தவறான செயல்களையும் செய்பவீர்கள்."
والدكتور شعر بخيبة آمل ولكنه أتفاجأ بأيد مرفوعة علي استحياء انها يد وسيم,"The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand","والدكتور خاب املو بس اتفاجأ بايد مرفوعة بخجل , ايد وسيم",والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,حس الدكتور بخيبة امل بس تفاجأ بايد مرفوعة بتردد وهي ايد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,و الطبيب حس بخيبة امل اما اتفا جأ بيدين مهزوزة و طلعت يد سليم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم
Source: The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand
Translation: <|im_end|>
","://டாக்டர் அவர் வருந்தினார், ஆனால் அவர் வேசீமின் அவர்கள் மனமாடிய எழுப்பிய கை இருந்ததை அடைந்து அதிசடமானார்."
ومن شرهن ده لما كانو طيبين وبحالهن قال ربنا عنهم ان كيدهن عظي,"and from their evil, and when they were kind god said about them Truly mighty is women snare",ومن شرهن هاد ربنا حكى عنهم ان كيدهن عظيم,و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هدا وزمان وهن طيبات في حالهن الله قال عنهن ان كيدهن عظيم,ومن شرهن هاد لما كانو طيبين وبحالن قال الله عنهم ( إن كيدهن عظيم ),ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Source: and from their evil, and when they were kind god said about them Truly mighty is women snare
Translation: <|im_end|>
","
மற்றும் அவர்கள் தீயவை இருக்கும்போது, அல்லாஹ் அவர்கள் குறித்து அவர்கள் செயல்கள் பெரியவை என்பதை சொன்னார்."
احنا لازم نعرف اننا مهزومين ونعترف بكدة لكن لازم نعرف ان االعدو مش ممكن يبقى صديق ولازم نعلم ولادنا ان ده عدونا,"We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.",احنا لازم نعترف انا مغلوبين ولازم نعرف انو العدو مستحيل يكون صديق ولازم نحكي لولادنا مين هو عدونا,من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا,احنا لازم نعترف بالهزيمه بس لازم نعرف كمان انو العدو ولا مره ممكن يصير صديق وواجب علينا نبين لولادنا انو هدا عدونا,نحنا لازم نعرف أننا خسارنين ونعترف بهيك لكن لازم نعرف أن العدو مو  ممكن أنو صديق ولازم نعلم ولادنا أنو هاد عدونا,احنا لازم نعرفوا انا تغلبنا و نستعرفوا اما لازم نعرفوا اللي العدو ما ينجمش يولي صاحب و لازم نقول لولادنا ان هذاكا عدونا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا
Source: We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.
Translation: <|im_end|>
","நமக்கு தெரியும் மற்றும் அங்கீகரிக்க வேண்டும் என்பது நாம் தோற்றுவது என்று, ஆனால் எதிரியின் நண்பனாக மாற முடியாது என்பது நாம் அறிய வேண்டும், மேலும் நமது மகன்களுக்கும் மகளிருக்கும் இது எந்திரி என்பதை கற்றுக்கொடுக்க வேண்டும்."
انا شفتها تمانيه بس هقول ايه هتنزل المره دى مروان,i did see here but i'll say what are you going to download this time Marwan,انا شفتها هون بس شو رح احكي شو بتنزل مروان,انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان,رح تنزل المره هاي يا مروان ان شفتها ثمانيه بس شو بدي احكي,أنا شفتها تمانية بس رح قول شو رح تنزل المرة هي مروان,أنا ريتها مع ثمانية وإنت باش تهبط توا يا مروان,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
Source: i did see here but i'll say what are you going to download this time Marwan
Translation: <|im_end|>
","
நான் இங்கே பார்த்தேன் என்றாலும், நீங்கள் இந்த முறை ஏன் டவுன்லோட் செய்வீர்கள் என்று சொல்ல மாறான?"
ونستغل زكائنا ونختبر الانسان اللي ارتبطنا بيه واللي هنعيش معاه بقيت عمرنا,and exploits our intelligent and tested human who link with him and will live with him rest of our life,لازم نستغل ذكائنا ونختبر الانسان الي ارتبطنا فيه واللي رح نعيش معو طول عمرنا,ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر,وبذكائنا بنختبر الانسان اللي ارتبطنا فيه واللي بدنا نعيش معه لاخر حياتنا,وبنحاول نستغل زكائنا ونختبر الأنسان اللي ارتبطنا فيه  واللي رح نعيش معو باقي عمرنا,و نستغل ذكائنا و نجرب العبد اللي ارتبطنا بيه واللي باش نكمل معاه حياتي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
Source: and exploits our intelligent and tested human who link with him and will live with him rest of our life
Translation: <|im_end|>
","://நாம் நமது அறிவை பயன்படுத்தி, நமது அறியாக்கப்பட்ட மனிதனை இணைத்துக்கொண்டு, அவருடன் எங்கள் வாழ்வின் பிறகு வாழ முடியும்."
بص هو فعلا موضوع الحفلات فى الجامعه ده مش صح اساسا لان المفروض ان الجامعه دى مكان للتعليم ده المفروض يعنى والحفلات دى ليها اماكنها,listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place,شوف هو موضوع الحفلات بالجامعة مش صح لانو الجامعة مكان تعليم والحفلات الها اماكنها,اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص,شوف هو عمل الحفلات في الجامعه اصلا مش صح لانو هو مكان للتعليم مش مكان رقص واغاني والحفلات الها امكن خاصه هيك المفروض,شوف هو فعلا موضوع الحفلات في الجامعة هاد مو صح اساسا لأنو المفروض انو الجامعة هي مكان للتعليم هاد المفروض يعني والحفلات هي الها أماكنها,شوف هو بالحق موضوع الحفلات فى الجامعة موش صحيح جملة على خاطر المفروض ان الجامعة نقراو فيها هذا هو المفروض والحفلات هاذي ليها بقعتها,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
Source: listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place
Translation: <|im_end|>
","
கேட்க, பல்கலைக்கழகத்தில் கட்சி போட்டம் சரியானது அல்ல ஏனென்றால் பல்கலைக்கழகம் அடிப்படையில் கல்வி இடமாக உள்ளது இது என்பது அதன் கட்சிக்கு தனி இடம் உள்ளது."
البرنامج ده تدخله ملف مكتوب او اى حاجة مكتوبة يخرجها من الناحية التانية ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension,هاد البرنامج بتدخلو ملف مكتوب من جهة وبطلعو ملف صوت بالحكي المكتوب من الجهة التانية بامتداد,قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده,الية عمل هدا البرنامج انو بتدخله البانات مكتوبه بطلعها صوت مسجل بالكلمات المكتوبه على الورقه على شكل امتداد,البرنامج هاد رح تدخله ملف مكتوب أو أي شي مكتوبة يخرج من الناحية التانية ملف صوت مسجل بالكلام الي مكتوب في الورقة على شكل أمتداد,هالبرنامج تدخلو ملف مكتوب ولا اى حاجة مكتوبة يخرجها من ا لجهة لخرى ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
Source: that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension
Translation: <|im_end|>
",أهتمام: قم بإدخال الملف المكتوب هذا البرنامج سيقوم بتحويله إلى ملف صوتي مسجل بالكلام والذي يحتوي على ما هو مكتوب في الملف بنفس الشكل والتنسيق.
ابو وطن صباح شريف معاليك,"the father of this nation, good morning your honor",ابو وطن صاح شريف معاليك,ابو وطن صباح الخير سيادتك,صباح شريف معالي ابو وطن,أبو وطن صباح سعادتك,بو وطن صباح شريف يا سيدي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ابو وطن صباح الخير سيادتك
Source: the father of this nation, good morning your honor
Translation: <|im_end|>
","
நாட்டின் தந்தை நல்வருவாக சம்பாத்திக்கும்"
بافرح اوي برضه من كلمات التدعيم و ان حد كلف نفسه ووقف يعلق بكلمه شايف انها ممكن تخفف عني ،,I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.,كتير بنبسط من كلمات التشجيع وانو حدا وقف يحكي يخفف عني,اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى,بفرح كتير كمان من الكلام اللي بدعمني ولو في حدا يقولي كلام ممكن  يخفف عني يقوله,أنا بفرح كتير كمان من كلمات الي بتدعم الشخص وأن واحد كلف حالو ووقف يعلق بكلمة  هو شايف أنو هالكلمة ممكن  تخفف عني,راني نفرح عالاخر كي نلقى شكون يواسيني ويقف معايا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى
Source: I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.
Translation: <|im_end|>
","
நான் அனுதாபமாக இருக்கிறேன் அனுமத்தின் சொற்களும், ஒருவன் அவரது கருத்து அளித்து அனுமதி செய்து ஒரு வாக்கியம் கொடுத்தார் அது எனக்கு வரும் சோகம் குறைகின்றது."
ده أخطر بكثير من حد بيزايد على أهداف سويف أو محمد بكري و برضه,this is more danger from one Gambling on souif or mohamrd bakry targets and also,هاد اخطر بكتير من حدا بزايد على اهداف سويف او محمد بكري وبوضو,هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هدا اخطر بكثير من حدا بيزايد على اهداف سويف او محمد بكري وكمان,هاد أخطر من حدا بيناسف على أهداف سويف أو محمد بكري,هذا اخطر ببرشة من حد يعلق على اهداف سويف ولا محمد بكري,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
Source: this is more danger from one Gambling on souif or mohamrd bakry targets and also
Translation: <|im_end|>
",://இது ஒருவர் சூயிப் அல்லது முஹம்மது பக்ரி இல் போட்டு வெளியில் வைர நோக்கின அதிக வாய்ப்பு என்று அல்லது
ولا ايه اعتبرها قعدة زي قعدة ههه ربنا يوفقك,"or what? consider it a sitting like any sitting...haha, may god help you",ولا شو اعتبر قعدة زيه هاي القعدة الله يوفقك,ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .,ولا شو اعتبرها قعده زي قعدة ههه الله يفرجها عليك,ولا شو اعتبرها قعدة متل قعدة هههههه  الله يوفقك,ولا شنوى حسبتها قاعدة كيما قاعدة ربي معاك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .
Source: or what? consider it a sitting like any sitting...haha, may god help you
Translation: <|im_end|>
",":// என்ன என்ன அவர் ஒரு அநாடம் போல் ஒரு அநாடம் என்ன... ஹாஃக், அல்லாஹ் உங்களை ஊக்குவிக்கட்டும்."
وتحياتي لك استاذ محمد نبيل,and my greetings Mr Mohammad Nabeel,تحياتي استاز محمد نبيل,و تحياتى لك استاذ محمد نبيل,وتحياتي استاذ  محمد نبيل,وسلامي الك يا استاذ محمد نبيل,وتحياتي ليك استاذ محمد نبيل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تحياتى لك استاذ محمد نبيل
Source: and my greetings Mr Mohammad Nabeel
Translation: <|im_end|>
",://நான் உங்கள் அனைவருக்கு நன்றி சொல்கிறேன் முதன்மை மொஹம்மது நபீல்
يبقى نجيب كام كتاب بيتكلم على المقاييس,We will bring a couple of books that talks about standards,بنجيب اكم كتاب بحكي عن المقاييس,سنحضر عدة كتب تناقش موضوع المقاييس,معناها نجيب اكم كتاب عن المقاييس,بيبقى نجيب كم كتاب بيحكي عن المقاييس,نوليو نجيبوا شويا كتب يحكيو على المقاييس,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.سنحضر عدة كتب تناقش موضوع المقاييس
Source: We will bring a couple of books that talks about standards
Translation: <|im_end|>
",://நாம் ஒரு பிரிவின் நூல்களை அளிக்கின்றோம் அந்த வகை மானிப்புகள் பேசும்
ههه بس دول ياعيني قصتهم خلصت من زمااان ههه,hhh but those their story finished in the past,ههه بس هدول قصتهم خلصت من زمان,لكن هؤلاء قصتهم انتهت فى الماضى,ههه بس هدول يا حرام من زمان خلصت قصتهم ههه,ههههه بس هدول يا عيني قصتهم خلصت من زمان ههههه,ههه اما هذوما حكايتهم وفاة عندها برشا ههه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لكن هؤلاء قصتهم انتهت فى الماضى
Source: hhh but those their story finished in the past
Translation: <|im_end|>
","://
لكن قصتهم انتهت في الماضي
Note: The translation is in Arabic."
يبقي يستاهل القتل,Then he deserves to be killed,اذا بستاهل القتل,يكون مصيره القتل,معناها بستاهل الموت,معناها بيستاهل القتل,يولي يستاهل القتل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يكون مصيره القتل
Source: Then he deserves to be killed
Translation: <|im_end|>
","
அவருக்கு கொலை நிகழ்வது அருகில் உள்ளது."
خربان و نا نجار دواليبكم هي كده قسمتي ؟,it is corrupted..this is the carpenter of your wheels..this is my fate?,"خربان وانا نجار عجالكم , هاي قسمتي ونصيبي ؟",إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟,خالص وانا عامل اشغالكم كلها هذي قسمتي ؟,خربان وأنا نجار خزناتكم هي هيك قسمتي بهالدنيا ؟,دوالبكم مخربين و انا نجار نصلحهم هذاك زهري؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟
Source: it is corrupted..this is the carpenter of your wheels..this is my fate?
Translation: <|im_end|>
","
இது சேர்க்கப்பட்டது.. நீங்கள் வாகன நாடாளன் இந்த தொழிலாளி என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் என்னும் �"
وتنسي ان الذوق الداخلي تنسي انه تقول كلمه حلوه,"And forget about the inner taste , forget to say a sweet word",وتنسي تحكي كلمة حلوة من باب الذوق,و تنسى ان الذوق الداخلى ان تقول له كلمه جميله,وتنسى ان الذوق من الداخل وتنسى تحكي كلمه حلوه,وتنسى أن الذوق من جوا وتنسى تقول كلمة حلوة,تنجم تنسى بش تقول كلام حلو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
Source: And forget about the inner taste , forget to say a sweet word
Translation: <|im_end|>
","://அதிகாரிக்கு உள்ள சுவாசம், அனுப்பினில் அனைத்து அனிப்பின் அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து அனைத்து"
وانت اللي لك الاختيار في الاول والاخر,And you have the choice after all,اول عن اخر انت الي رح تختار,وأنت الذى تملك الأختيار فى جميع الأحوال,والاختيار برجعلك,وانت الي ألك الاختيار في الأول والأخير,وانت اللي تختار في الاول وفي الاخر,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وأنت الذى تملك الأختيار فى جميع الأحوال
Source: And you have the choice after all
Translation: <|im_end|>
",://நீங்கள் அனைத்து நிலைகளிலும் தெரிவு செய்ய முடியும்
وميرسى اوى على التوبيك الجميل اوى ده وانا أحب اشكرك علي هذا الرد الجميل أما بخصوص الشباب فربنا يهدي الجميع يا رب الله يخليك,"Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you",وشكرا كتير على الموضوع الحلو كثير وبشكرك على الرد الحلو . اما بخصوص الشباب ف الله يهديهم .,و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع,شكرا كتير على هالموضوع الحلو هدا وكمان بحب اشكرك على ردك المميز اما بخصوص الشباب بتمنى ربنا يهديهم والله يخليك,شكرا كتير على التوبيك الحلو كتير هاد وأنا بحب أشكرك  على هالرد الجميل أما بخصوص الشباب الله  يهدي الجميع يارب الله يخليك,ومرسي برشا على التوبيك لحلو هذا وانا نحب نشكرك على الجاست لحلوة اما الشباب ربي يهديهم وربي يخليك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
Source: Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you
Translation: <|im_end|>
","
நன்றி அதிகமாக இந்த அந்த அழிக்கப்பெரிய தலைப்புக்கும் நன்றி சொல்கிறேன் மற்றும் நீங்கள் அந்த அந்த அழிக்கப்பெரிய பதில் சொல்லின் நன்றி சொல்கிறேன். இளைஞர்களுக்கு என்ன செய்வது என்று அல்லாஹ் அனைவரையும் அடைய வழி காட்டும். அவர்களை அனைவரும் அனுமானமாக இருக்க அல்லாஹ் வாழ்த்துகிறார்."
